"Metacritic";"MatchedTo";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Tank Universal 2";;1;"Tank Universal";;;;;;;;;
"Tales of Monkey Island";;1;"Tales of Monkey Island Complete Pack";;;;;;;;;
"Tale of Wuxia";;1;"侠客风云传(Tale of Wuxia)";;;;;;;;;
"Tactical Genius";;1;"Tactical Genius Online";;;;;;;;;
"Sword of the Stars: Ultimate Collection";;2;"Sword of the Stars: Complete Collection";"Sword of the Stars II: Enhanced Edition";;;;;;;;
"Sword of the Stars II: Lords of Winter (Enhanced Edition)";;1;"Sword of the Stars II: Enhanced Edition";;;;;;;;;
"Superstar Dance Club: #1 Hits!!!";;1;"Superstar Dance Club";;;;;;;;;
"Superbike 2001";;1;"SuperBike TT";;;;;;;;;
"Superbike 2000";;1;"SuperBike TT";;;;;;;;;
"Super Galaxy Squadron EX";;1;"Super Galaxy Squadron EX Turbo";;;;;;;;;
"Super Galaxy Squadron";;1;"Super Galaxy Squadron EX Turbo";;;;;;;;;
"Super DX-Ball";;1;"Supraball";;;;;;;;;
"Sudden Strike Forever";;1;"Sudden Strike 4";;;;;;;;;
"Sudden Strike Anthology";;1;"Sudden Strike 4";;;;;;;;;
"Stronghold";;1;"Stronghold HD";;;;;;;;;
"Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough";;5;"Strong Bad's Cool Game for Attractive People: Episode 5";"Strong Bad's Cool Game for Attractive People: Episode 2";"Strong Bad's Cool Game for Attractive People: Episode 3";"Strong Bad's Cool Game for Attractive People: Episode 4";"Strong Bad's Cool Game for Attractive People: Season 1";;;;;
"Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands";;5;"Strong Bad's Cool Game for Attractive People: Episode 3";"Strong Bad's Cool Game for Attractive People: Episode 2";"Strong Bad's Cool Game for Attractive People: Episode 4";"Strong Bad's Cool Game for Attractive People: Episode 5";"Strong Bad's Cool Game for Attractive People: Season 1";;;;;
"Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free";;5;"Strong Bad's Cool Game for Attractive People: Episode 2";"Strong Bad's Cool Game for Attractive People: Episode 3";"Strong Bad's Cool Game for Attractive People: Episode 4";"Strong Bad's Cool Game for Attractive People: Episode 5";"Strong Bad's Cool Game for Attractive People: Season 1";;;;;
"Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner";;5;"Strong Bad's Cool Game for Attractive People: Episode 2";"Strong Bad's Cool Game for Attractive People: Episode 3";"Strong Bad's Cool Game for Attractive People: Episode 4";"Strong Bad's Cool Game for Attractive People: Episode 5";"Strong Bad's Cool Game for Attractive People: Season 1";;;;;
"Strong Bad's Cool Game for Attractive People";;5;"Strong Bad's Cool Game for Attractive People: Season 1";"Strong Bad's Cool Game for Attractive People: Episode 2";"Strong Bad's Cool Game for Attractive People: Episode 3";"Strong Bad's Cool Game for Attractive People: Episode 4";"Strong Bad's Cool Game for Attractive People: Episode 5";;;;;
"Strike Suit Zero: Heroes of the Fleet";;1;"Strike Suit Zero: Director's Cut";;;;;;;;;
"Street Legal Racing: Redline";;1;"Street Legal Racing: Redline v2.3.1";;;;;;;;;
"Steel Soldiers";;1;"Z Steel Soldiers";;;;;;;;;
"StaudSoft's Synthetic World";;1;"StaudSoft's Synthetic World Beta";;;;;;;;;
"State of Decay: Lifeline";;1;"State of Decay: YOSE";;;;;;;;;
"State of Decay: Breakdown";;1;"State of Decay: YOSE";;;;;;;;;
"Starpoint Gemini: Timebreach";;1;"Starpoint Gemini Warlords";;;;;;;;;
"Stardust Galaxy Warriors";;1;"Stardust Galaxy Warriors: Stellar Climax";;;;;;;;;
"Star Wars: Trials on Tatooine";;1;"Trials on Tatooine";;;;;;;;;
"Star Wars Galactic Battlegrounds: Clone Campaigns";;1;"STAR WARS™ Galactic Battlegrounds Saga";;;;;;;;;
"Star Wars Galactic Battlegrounds";;1;"STAR WARS™ Galactic Battlegrounds Saga";;;;;;;;;
"Star Trek: Starfleet Command III";;2;"Star Trek: Starfleet Command Gold Edition";"Star Trek™: Starfleet Academy";;;;;;;;
"Star Trek Starfleet Command: Orion Pirates";;1;"Star Trek: Starfleet Command Gold Edition";;;;;;;;;
"SQR";;1;"SQR🔲";;;;;;;;;
"Spirited Heart";;1;"Spirited Heart Deluxe";;;;;;;;;
"Spirit of Revenge: Cursed Castle";;1;"Spirit of Revenge: Cursed Castle Collector's Edition";;;;;;;;;
"Spaceman Sparkles 3D";;1;"Spaceman Sparkles 3";;;;;;;;;
