"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Yousei: The Third Investigation";"0";;;;;;;;;;
"Yourself!Fitness";"0";;;;;;;;;;
"Your World";"1";"Hurtworld";;;;;;;;;
"Your Star";"0";;;;;;;;;;
"Your Shape";"0";;;;;;;;;;
"Your Doodles Are Bugged!";"0";;;;;;;;;;
"Youjuu Senki A.D. 2048";"0";;;;;;;;;;
"Youda Survivor 2";"0";;;;;;;;;;
"Youda Marina";"0";;;;;;;;;;
"Youda Legend: The Curse of the Amsterdam Diamond";"0";;;;;;;;;;
"Youda Farmer";"0";;;;;;;;;;
"You, With Me - A Kinetic Novel";"0";;;;;;;;;;
"You Still Won't Make It";"0";;;;;;;;;;
"You Don't Know Jack: Volume 4 - The Ride";"5";"YOU DON'T KNOW JACK Vol. 4 The Ride";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK TELEVISION";;;;;
"You Don't Know Jack: Volume 3";"6";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK Vol. 4 The Ride";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK TELEVISION";;;;
"You Don't Know Jack: Offline";"6";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK TELEVISION";"YOU DON'T KNOW JACK Vol. 4 The Ride";;;;
"You Don't Know Jack: Louder! Faster! Funnier!";"0";;;;;;;;;;
"You Don't Know Jack: 5th Dementia";"6";"YOU DON'T KNOW JACK TELEVISION";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK Vol. 4 The Ride";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";;;;
"You Don't Know Jack Volume 2";"6";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK Vol. 4 The Ride";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK TELEVISION";;;;
"You Don't Know Jack 6: The Lost Gold";"5";"YOU DON'T KNOW JACK TELEVISION";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK HEADRUSH";;;;;
"You Don't Know Jack (2011)";"5";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK TELEVISION";;;;;
"You Don't Know Jack (1995)";"5";"YOU DON'T KNOW JACK Vol. 2";"YOU DON'T KNOW JACK Vol. 3";"YOU DON'T KNOW JACK HEADRUSH";"YOU DON'T KNOW JACK Vol. 1 XL";"YOU DON'T KNOW JACK TELEVISION";;;;;
"You Are Not A Banana: Chapter 1";"0";;;;;;;;;;
"You Are Empty";"0";;;;;;;;;;
"YOU and who else?";"0";;;;;;;;;;
"Yosumin!";"1";"Yosumin!™";;;;;;;;;
"Yoot Tower";"0";;;;;;;;;;
"Yome no Imouto tono Inai";"0";;;;;;;;;;
"Yo-Jin-Bo: The Bodyguards";"0";;;;;;;;;;
"Yin-Yang! Another X-Change";"0";;;;;;;;;;
